"code","descr","lang_code","is_active","cr_by","cr_dtimes"
"auth-email-content","Modèle de contenu dautorisation","fra","TRUE","superadmin","now()"
"auth-email-subject","Modèle pour sujet dautorisation","fra","TRUE","superadmin","now()"
"auth-sms","Modèle de SMS dautorisation","fra","TRUE","superadmin","now()"
"ida-auth-otp-email-content-template","Modèle de contenu de courrier électronique","fra","TRUE","superadmin","now()"
"ida-auth-otp-email-subject-template","Modèle pour sujet demail","fra","TRUE","superadmin","now()"
"ida-auth-otp-sms-template","Modèle pour OTP dans SMS","fra","TRUE","superadmin","now()"
"RPR_DUP_UIN_EMAIL","Modèle de courrier didentité en double","fra","TRUE","superadmin","now()"
"RPR_DUP_UIN_SMS","Modèle de message didentité en double","fra","TRUE","superadmin","now()"
"RPR_TEC_ISSUE_EMAIL","Modèle pour courrier électronique de problème technique","fra","TRUE","superadmin","now()"
"RPR_TEC_ISSUE_SMS","Modèle de message de problème technique","fra","TRUE","superadmin","now()"
"RPR_UIN_GEN_EMAIL","Modèle de courrier électronique de génération didentité","fra","TRUE","superadmin","now()"
"RPR_UIN_GEN_SMS","Modèle de message de génération didentité","fra","TRUE","superadmin","now()"
"RPR_UIN_UPD_EMAIL","Modèle pour les détails de la mise à jour Email","fra","TRUE","superadmin","now()"
"RPR_UIN_UPD_SMS","Modèle pour la mise à jour Détails Message","fra","TRUE","superadmin","now()"
"NewReg-email-content-template","Modèle pour nouvelle inscription Email Content","fra","TRUE","superadmin","now()"
"NewReg-email-subject-template","Modèle pour nouvelle inscription Objet de le-mail","fra","TRUE","superadmin","now()"
"NewReg-sms-template","Modèle de nouvelle inscription SMS","fra","TRUE","superadmin","now()"
"OTP-email-content-template","Modèle de contenu de courrier électronique de génération dOTP","fra","TRUE","superadmin","now()"
"OTP-email-subject-template","Modèle pour le sujet de-mail de génération dOTP","fra","TRUE","superadmin","now()"
"OTP-sms-template","Modèle pour SMS OTP","fra","TRUE","superadmin","now()"
"Update-email-content-template","Modèle pour lenregistrement de la mise à jour","fra","TRUE","superadmin","now()"
"Update-email-subject-template","Modèle denregistrement de mise à jour Objet de le-mail","fra","TRUE","superadmin","now()"
"Update-sms-template","Modèle pour SMS denregistrement de mise à jour","fra","TRUE","superadmin","now()"
"Email-Acknowledgement","Template for email confirmation","fra","TRUE","superadmin","now()"
"Onscreen-Acknowledgement","On-screen recognition template","fra","TRUE","superadmin","now()"
"otp-email-content-template","OTP Email Content Template","fra","TRUE","superadmin","now()"
"otp-email-subject-template","Template for OTP email subject","fra","TRUE","superadmin","now()"
"otp-sms-template","Template for OTP SMS","fra","TRUE","superadmin","now()"
"SMS-Acknowledgement","Template for SMS Acknowledgment","fra","TRUE","superadmin","now()"
"Acknowledgement-email-subject","Modèle pour le sujet d'email d'accusé de réception","fra","TRUE","superadmin","now()"
"RPR_UIN_CARD_TEMPLATE","Modèle de carte UIN","fra","TRUE","superadmin","now()"
"RPR_UIN_DEAC_SMS","Modèle pour SMS de désactivation UIN","fra","TRUE","superadmin","now()"
"RPR_UIN_DEAC_EMAIL","Modèle pour Email de désactivation UIN","fra","TRUE","superadmin","now()"
"RPR_UIN_REAC_SMS","Modèle pour UIN Réactiver SMS","fra","TRUE","superadmin","now()"
"RPR_UIN_REAC_EMAIL","Modèle pour UIN Réactiver Email","fra","TRUE","superadmin","now()"
"reg-sms-notification","accusé de réception","fra","TRUE","superadmin","now()"
"reg-email-notification","accusé de réception","fra","TRUE","superadmin","now()"
"reg-ack-template-part1","accusé de réception","fra","TRUE","superadmin","now()"
"reg-ack-template-part2","accusé de réception","fra","TRUE","superadmin","now()"
"reg-ack-template-part3","accusé de réception","fra","TRUE","superadmin","now()"
"reg-ack-template-part4","accusé de réception","fra","TRUE","superadmin","now()"
"consent","Consentement","fra","TRUE","superadmin","now()"
"auth-otp-email-subject-template","Modèle dobjet de-mail Auth OTP","fra","TRUE","superadmin","now()"
"auth-otp-email-content-template","Auth OTP Email ContentTemplate","fra","TRUE","superadmin","now()"
"auth-otp-sms-template","Modèle SMS OTP Auth","fra","TRUE","superadmin","now()"
"lostUIN-email-notification","Modèle de reconnaissance UIN perdu","fra","TRUE","superadmin","now()"
"lostUIN-sms-notification","Modèle de reconnaissance UIN perdu","fra","TRUE","superadmin","now()"
"updateUIN-email-notification","Mise à jour du modèle d'accusé de réception UIN","fra","TRUE","superadmin","now()"
"updateUIN-sms-notification","Mise à jour du modèle d'accusé de réception UIN","fra","TRUE","superadmin","now()"
"cancel-appointment","Modèle pour annuler un rendez-vous","fra","TRUE","superadmin","now()"
"RPR_LOST_UIN_SMS","SMS de notification UIN perdu","fra","TRUE","superadmin","now()"
"RPR_LOST_UIN_EMAIL","Email de notification UIN perdu","fra","TRUE","superadmin","now()"
"RPR_MASKED_UIN_CARD_TEMPLATE","Modèle de carte Masked UIN","fra","TRUE","superadmin","now()"
